CIP2010 Code,CIP2010Title,SOC2010Code,SOC2010Title
13.1402,Teaching French as a Second or Foreign Language.,NO MATCH,NO MATCH
13.1499,"Teaching English or French as a Second or Foreign Language, Other.",NO MATCH,NO MATCH
13.1501,Teacher Assistant/Aide.,25-9041,Teacher Assistants
13.1502,Adult Literacy Tutor/Instructor.,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors
13.1599,"Teaching Assistants/Aides, Other.",NO MATCH,NO MATCH
13.9999,"Education, Other.",NO MATCH,NO MATCH
14.0101,"Engineering, General.",11-9041,Architectural and Engineering Managers
14.0101,"Engineering, General.",17-2199,"Engineers, All Other"
14.0101,"Engineering, General.",25-1032,"Engineering Teachers, Postsecondary"
14.0102,Pre-Engineering.,NO MATCH,NO MATCH
14.0201,"Aerospace, Aeronautical and Astronautical/Space Engineering.",11-9041,Architectural and Engineering Managers
14.0201,"Aerospace, Aeronautical and Astronautical/Space Engineering.",17-2011,Aerospace Engineers
14.0201,"Aerospace, Aeronautical and Astronautical/Space Engineering.",25-1032,"Engineering Teachers, Postsecondary"
14.0301,Agricultural Engineering.,11-9041,Architectural and Engineering Managers
14.0301,Agricultural Engineering.,17-2021,Agricultural Engineers
14.0301,Agricultural Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.0401,Architectural Engineering.,11-9041,Architectural and Engineering Managers
14.0401,Architectural Engineering.,17-2199,"Engineers, All Other"
14.0401,Architectural Engineering.,25-1031,"Architecture Teachers, Postsecondary"
14.0401,Architectural Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.0501,Bioengineering and Biomedical Engineering.,11-9041,Architectural and Engineering Managers
14.0501,Bioengineering and Biomedical Engineering.,17-2031,Biomedical Engineers
14.0501,Bioengineering and Biomedical Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.0601,Ceramic Sciences and Engineering.,11-9041,Architectural and Engineering Managers
14.0601,Ceramic Sciences and Engineering.,17-2131,Materials Engineers
14.0601,Ceramic Sciences and Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.0701,Chemical Engineering.,11-9041,Architectural and Engineering Managers
14.0701,Chemical Engineering.,17-2041,Chemical Engineers
14.0701,Chemical Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.0702,Chemical and Biomolecular Engineering.,11-9041,Architectural and Engineering Managers
14.0702,Chemical and Biomolecular Engineering.,17-2041,Chemical Engineers
14.0702,Chemical and Biomolecular Engineering.,17-2199,"Engineers, All Other"
14.0702,Chemical and Biomolecular Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.0799,"Chemical Engineering, Other.",11-9041,Architectural and Engineering Managers
14.0799,"Chemical Engineering, Other.",17-2041,Chemical Engineers
14.0799,"Chemical Engineering, Other.",25-1032,"Engineering Teachers, Postsecondary"
14.0801,"Civil Engineering, General.",11-9041,Architectural and Engineering Managers
14.0801,"Civil Engineering, General.",17-2051,Civil Engineers
14.0801,"Civil Engineering, General.",25-1032,"Engineering Teachers, Postsecondary"
14.0802,Geotechnical and Geoenvironmental Engineering.,11-9041,Architectural and Engineering Managers
14.0802,Geotechnical and Geoenvironmental Engineering.,17-2051,Civil Engineers
14.0802,Geotechnical and Geoenvironmental Engineering.,17-2081,Environmental Engineers
14.0802,Geotechnical and Geoenvironmental Engineering.,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers"
14.0802,Geotechnical and Geoenvironmental Engineering.,17-2171,Petroleum Engineers
14.0802,Geotechnical and Geoenvironmental Engineering.,17-2199,"Engineers, All Other"
14.0802,Geotechnical and Geoenvironmental Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.0803,Structural Engineering.,11-9041,Architectural and Engineering Managers
14.0803,Structural Engineering.,17-2051,Civil Engineers
14.0803,Structural Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.0804,Transportation and Highway Engineering.,11-9041,Architectural and Engineering Managers
14.0804,Transportation and Highway Engineering.,17-2051,Civil Engineers
14.0804,Transportation and Highway Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.0805,Water Resources Engineering.,11-9041,Architectural and Engineering Managers
14.0805,Water Resources Engineering.,17-2051,Civil Engineers
14.0805,Water Resources Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.0899,"Civil Engineering, Other.",11-9041,Architectural and Engineering Managers
14.0899,"Civil Engineering, Other.",17-2051,Civil Engineers
14.0899,"Civil Engineering, Other.",25-1032,"Engineering Teachers, Postsecondary"
14.0901,"Computer Engineering, General.",11-9041,Architectural and Engineering Managers
14.0901,"Computer Engineering, General.",15-1132,"Software Developers, Applications"
14.0901,"Computer Engineering, General.",15-1133,"Software Developers, Systems Software"
14.0901,"Computer Engineering, General.",15-1143,Computer Network Architects
14.0901,"Computer Engineering, General.",17-2061,Computer Hardware Engineers
14.0901,"Computer Engineering, General.",25-1032,"Engineering Teachers, Postsecondary"
14.0902,Computer Hardware Engineering.,11-9041,Architectural and Engineering Managers
14.0902,Computer Hardware Engineering.,17-2061,Computer Hardware Engineers
14.0902,Computer Hardware Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.0903,Computer Software Engineering.,11-9041,Architectural and Engineering Managers
14.0903,Computer Software Engineering.,15-1132,"Software Developers, Applications"
14.0903,Computer Software Engineering.,15-1133,"Software Developers, Systems Software"
14.0903,Computer Software Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.0999,"Computer Engineering, Other.",11-9041,Architectural and Engineering Managers
14.0999,"Computer Engineering, Other.",15-1143,Computer Network Architects
14.0999,"Computer Engineering, Other.",25-1032,"Engineering Teachers, Postsecondary"
14.1001,Electrical and Electronics Engineering,11-9041,Architectural and Engineering Managers
14.1001,Electrical and Electronics Engineering,17-2011,Aerospace Engineers
14.1001,Electrical and Electronics Engineering,17-2071,Electrical Engineers
14.1001,Electrical and Electronics Engineering,17-2072,"Electronics Engineers, Except Computer"
14.1001,Electrical and Electronics Engineering,25-1032,"Engineering Teachers, Postsecondary"
14.1003,Laser and Optical Engineering.,11-9041,Architectural and Engineering Managers
14.1003,Laser and Optical Engineering.,17-2199,"Engineers, All Other"
14.1003,Laser and Optical Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.1004,Telecommunications Engineering.,11-9041,Architectural and Engineering Managers
14.1004,Telecommunications Engineering.,17-2072,"Electronics Engineers, Except Computer"
14.1004,Telecommunications Engineering.,17-2199,"Engineers, All Other"
14.1004,Telecommunications Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.1099,"Electrical, Electronics and Communications Engineering, Other.",11-9041,Architectural and Engineering Managers
14.1099,"Electrical, Electronics and Communications Engineering, Other.",17-2071,Electrical Engineers
14.1099,"Electrical, Electronics and Communications Engineering, Other.",17-2072,"Electronics Engineers, Except Computer"
14.1099,"Electrical, Electronics and Communications Engineering, Other.",25-1032,"Engineering Teachers, Postsecondary"
14.1101,Engineering Mechanics.,11-9041,Architectural and Engineering Managers
14.1101,Engineering Mechanics.,17-2199,"Engineers, All Other"
14.1101,Engineering Mechanics.,25-1032,"Engineering Teachers, Postsecondary"
14.1201,Engineering Physics/Applied Physics.,11-9041,Architectural and Engineering Managers
14.1201,Engineering Physics/Applied Physics.,11-9121,Natural Sciences Managers
14.1201,Engineering Physics/Applied Physics.,17-2199,"Engineers, All Other"
14.1201,Engineering Physics/Applied Physics.,19-2012,Physicists
14.1201,Engineering Physics/Applied Physics.,25-1032,"Engineering Teachers, Postsecondary"
14.1301,Engineering Science.,11-9041,Architectural and Engineering Managers
14.1301,Engineering Science.,17-2199,"Engineers, All Other"
14.1301,Engineering Science.,25-1032,"Engineering Teachers, Postsecondary"
14.1401,Environmental/Environmental Health Engineering.,11-9041,Architectural and Engineering Managers
14.1401,Environmental/Environmental Health Engineering.,17-2081,Environmental Engineers
14.1401,Environmental/Environmental Health Engineering.,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
14.1401,Environmental/Environmental Health Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.1801,Materials Engineering.,11-9041,Architectural and Engineering Managers
14.1801,Materials Engineering.,13-1051,Cost Estimators
14.1801,Materials Engineering.,17-2131,Materials Engineers
14.1801,Materials Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.1901,Mechanical Engineering.,11-9041,Architectural and Engineering Managers
14.1901,Mechanical Engineering.,13-1051,Cost Estimators
14.1901,Mechanical Engineering.,17-2011,Aerospace Engineers
14.1901,Mechanical Engineering.,17-2141,Mechanical Engineers
14.1901,Mechanical Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.2001,Metallurgical Engineering.,11-9041,Architectural and Engineering Managers
14.2001,Metallurgical Engineering.,17-2131,Materials Engineers
14.2001,Metallurgical Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.2101,Mining and Mineral Engineering.,11-9041,Architectural and Engineering Managers
14.2101,Mining and Mineral Engineering.,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers"
14.2101,Mining and Mineral Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.2201,Naval Architecture and Marine Engineering.,11-9041,Architectural and Engineering Managers
14.2201,Naval Architecture and Marine Engineering.,17-2121,Marine Engineers and Naval Architects
14.2201,Naval Architecture and Marine Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.2301,Nuclear Engineering.,11-9041,Architectural and Engineering Managers
14.2301,Nuclear Engineering.,17-2161,Nuclear Engineers
14.2301,Nuclear Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.2401,Ocean Engineering.,11-9041,Architectural and Engineering Managers
14.2401,Ocean Engineering.,17-2199,"Engineers, All Other"
14.2401,Ocean Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.2501,Petroleum Engineering.,11-9041,Architectural and Engineering Managers
14.2501,Petroleum Engineering.,17-2171,Petroleum Engineers
14.2501,Petroleum Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.2701,Systems Engineering.,11-9041,Architectural and Engineering Managers
14.2701,Systems Engineering.,17-2199,"Engineers, All Other"
14.2701,Systems Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.2801,Textile Sciences and Engineering.,11-9041,Architectural and Engineering Managers
14.2801,Textile Sciences and Engineering.,17-2131,Materials Engineers
14.2801,Textile Sciences and Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.3201,Polymer/Plastics Engineering.,11-9041,Architectural and Engineering Managers
14.3201,Polymer/Plastics Engineering.,17-2131,Materials Engineers
14.3201,Polymer/Plastics Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.3301,Construction Engineering.,11-9041,Architectural and Engineering Managers
14.3301,Construction Engineering.,13-1051,Cost Estimators
14.3301,Construction Engineering.,17-2051,Civil Engineers
14.3301,Construction Engineering.,17-2199,"Engineers, All Other"
14.3301,Construction Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.3401,Forest Engineering.,11-9041,Architectural and Engineering Managers
14.3401,Forest Engineering.,17-2199,"Engineers, All Other"
14.3401,Forest Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.3501,Industrial Engineering.,11-3051,Industrial Production Managers
14.3501,Industrial Engineering.,11-9041,Architectural and Engineering Managers
14.3501,Industrial Engineering.,17-2112,Industrial Engineers
14.3501,Industrial Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.3601,Manufacturing Engineering.,11-9041,Architectural and Engineering Managers
14.3601,Manufacturing Engineering.,13-1051,Cost Estimators
14.3601,Manufacturing Engineering.,17-2112,Industrial Engineers
14.3601,Manufacturing Engineering.,17-2199,"Engineers, All Other"
14.3601,Manufacturing Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.3701,Operations Research.,11-9121,Natural Sciences Managers
14.3701,Operations Research.,15-2031,Operations Research Analysts
14.3801,Surveying Engineering.,11-9041,Architectural and Engineering Managers
14.3801,Surveying Engineering.,17-2199,"Engineers, All Other"
14.3801,Surveying Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.3901,Geological/Geophysical Engineering.,11-9041,Architectural and Engineering Managers
14.3901,Geological/Geophysical Engineering.,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers"
14.3901,Geological/Geophysical Engineering.,17-2199,"Engineers, All Other"
14.3901,Geological/Geophysical Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.4001,Paper Science and Engineering.,11-9041,Architectural and Engineering Managers
14.4001,Paper Science and Engineering.,17-2041,Chemical Engineers
14.4001,Paper Science and Engineering.,17-2199,"Engineers, All Other"
14.4001,Paper Science and Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.4101,Electromechanical Engineering.,11-9041,Architectural and Engineering Managers
14.4101,Electromechanical Engineering.,17-2141,Mechanical Engineers
14.4101,Electromechanical Engineering.,17-2199,"Engineers, All Other"
14.4101,Electromechanical Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.4201,"Mechatronics, Robotics, and Automation Engineering.",11-9041,Architectural and Engineering Managers
14.4201,"Mechatronics, Robotics, and Automation Engineering.",17-2199,"Engineers, All Other"
14.4201,"Mechatronics, Robotics, and Automation Engineering.",25-1032,"Engineering Teachers, Postsecondary"
14.4301,Biochemical Engineering.,11-9041,Architectural and Engineering Managers
14.4301,Biochemical Engineering.,17-2041,Chemical Engineers
14.4301,Biochemical Engineering.,17-2199,"Engineers, All Other"
14.4301,Biochemical Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.4401,Engineering Chemistry.,11-9041,Architectural and Engineering Managers
14.4401,Engineering Chemistry.,17-2041,Chemical Engineers
14.4401,Engineering Chemistry.,17-2199,"Engineers, All Other"
14.4401,Engineering Chemistry.,25-1032,"Engineering Teachers, Postsecondary"
14.4501,Biological/Biosystems Engineering.,11-9041,Architectural and Engineering Managers
14.4501,Biological/Biosystems Engineering.,17-2031,Biomedical Engineers
14.4501,Biological/Biosystems Engineering.,17-2199,"Engineers, All Other"
14.4501,Biological/Biosystems Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.9999,"Engineering, Other.",11-9041,Architectural and Engineering Managers
14.9999,"Engineering, Other.",17-2199,"Engineers, All Other"
14.9999,"Engineering, Other.",25-1032,"Engineering Teachers, Postsecondary"
15.0000,"Engineering Technology, General.",NO MATCH,NO MATCH
15.0101,Architectural Engineering Technology/Technician.,17-3029,"Engineering Technicians, Except Drafters, All Other"
15.0201,Civil Engineering Technology/Technician.,17-3022,Civil Engineering Technicians
15.0303,"Electrical, Electronic and Communications Engineering Technology/Technician.",17-3023,Electrical and Electronics Engineering Technicians
15.0304,Laser and Optical Technology/Technician.,17-3029,"Engineering Technicians, Except Drafters, All Other"
15.0305,Telecommunications Technology/Technician.,17-3023,Electrical and Electronics Engineering Technicians
15.0306,Integrated Circuit Design.,17-3023,Electrical and Electronics Engineering Technicians
15.0399,"Electrical and Electronic Engineering Technologies/Technicians, Other.",17-3023,Electrical and Electronics Engineering Technicians
15.0401,Biomedical Technology/Technician.,17-3029,"Engineering Technicians, Except Drafters, All Other"
15.0401,Biomedical Technology/Technician.,49-9062,Medical Equipment Repairers
15.0403,Electromechanical Technology/Electromechanical Engineering Technology.,17-3024,Electro-Mechanical Technicians
15.0404,Instrumentation Technology/Technician.,17-3024,Electro-Mechanical Technicians
15.0404,Instrumentation Technology/Technician.,49-9069,"Precision Instrument and Equipment Repairers, All Other"
15.0405,Robotics Technology/Technician.,17-3024,Electro-Mechanical Technicians
15.0406,Automation Engineer Technology/Technician.,17-3024,Electro-Mechanical Technicians
15.0499,"Electromechanical and Instrumentation and Maintenance Technologies/Technicians, Other.",17-3024,Electro-Mechanical Technicians
15.0501,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician.",17-3029,"Engineering Technicians, Except Drafters, All Other"
15.0501,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician.",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
15.0503,Energy Management and Systems Technology/Technician.,17-3029,"Engineering Technicians, Except Drafters, All Other"
15.0503,Energy Management and Systems Technology/Technician.,27-1021,Commercial and Industrial Designers
15.0505,Solar Energy Technology/Technician.,17-3029,"Engineering Technicians, Except Drafters, All Other"
15.0505,Solar Energy Technology/Technician.,47-2231,Solar Photovoltaic Installers
15.0506,Water Quality and Wastewater Treatment Management and Recycling Technology/Technician.,51-8031,Water and Wastewater Treatment Plant and System Operators
15.0507,Environmental Engineering Technology/Environmental Technology.,17-3025,Environmental Engineering Technicians
15.0508,Hazardous Materials Management and Waste Technology/Technician.,47-4041,Hazardous Materials Removal Workers
15.0599,"Environmental Control Technologies/Technicians, Other.",17-3029,"Engineering Technicians, Except Drafters, All Other"
15.0607,Plastics and Polymer Engineering Technology/Technician.,17-3029,"Engineering Technicians, Except Drafters, All Other"
15.0611,Metallurgical Technology/Technician.,17-3029,"Engineering Technicians, Except Drafters, All Other"
15.0612,Industrial Technology/Technician.,17-3026,Industrial Engineering Technicians
15.0613,Manufacturing Engineering Technology/Technician.,17-3026,Industrial Engineering Technicians
15.0614,Welding Engineering Technology/Technician.,17-3029,"Engineering Technicians, Except Drafters, All Other"
15.0614,Welding Engineering Technology/Technician.,51-4121,"Welders, Cutters, Solderers, and Brazers"
15.0615,Chemical Engineering Technology/Technician.,17-3029,"Engineering Technicians, Except Drafters, All Other"
15.0616,Semiconductor Manufacturing Technology.,17-3023,Electrical and Electronics Engineering Technicians
15.0616,Semiconductor Manufacturing Technology.,51-9141,Semiconductor Processors
15.0699,"Industrial Production Technologies/Technicians, Other.",17-3026,Industrial Engineering Technicians
15.0701,Occupational Safety and Health Technology/Technician.,29-9011,Occupational Health and Safety Specialists
15.0702,Quality Control Technology/Technician.,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
15.0703,Industrial Safety Technology/Technician.,29-9011,Occupational Health and Safety Specialists
15.0704,Hazardous Materials Information Systems Technology/Technician.,17-3025,Environmental Engineering Technicians
15.0799,"Quality Control and Safety Technologies/Technicians, Other.",NO MATCH,NO MATCH
15.0801,Aeronautical/Aerospace Engineering Technology/Technician.,17-3021,Aerospace Engineering and Operations Technicians
15.0803,Automotive Engineering Technology/Technician.,49-3023,Automotive Service Technicians and Mechanics
15.0805,Mechanical Engineering/Mechanical Technology/Technician.,17-3027,Mechanical Engineering Technicians
15.0899,"Mechanical Engineering Related Technologies/Technicians, Other.",17-3027,Mechanical Engineering Technicians
15.0901,Mining Technology/Technician.,17-3029,"Engineering Technicians, Except Drafters, All Other"
15.0901,Mining Technology/Technician.,47-5013,"Service Unit Operators, Oil, Gas, and Mining"
15.0903,Petroleum Technology/Technician.,19-4041,Geological and Petroleum Technicians
15.0999,"Mining and Petroleum Technologies/Technicians, Other.",19-4041,Geological and Petroleum Technicians
15.1001,Construction Engineering Technology/Technician.,11-9021,Construction Managers
15.1001,Construction Engineering Technology/Technician.,13-1051,Cost Estimators
15.1001,Construction Engineering Technology/Technician.,17-3022,Civil Engineering Technicians
15.1102,Surveying Technology/Surveying.,17-1021,Cartographers and Photogrammetrists
15.1102,Surveying Technology/Surveying.,17-1022,Surveyors
15.1102,Surveying Technology/Surveying.,17-3031,Surveying and Mapping Technicians
15.1103,Hydraulics and Fluid Power Technology/Technician.,17-3029,"Engineering Technicians, Except Drafters, All Other"
15.1199,"Engineering-Related Technologies, Other.",NO MATCH,NO MATCH
15.1201,Computer Engineering Technology/Technician.,17-3023,Electrical and Electronics Engineering Technicians
15.1202,Computer Technology/Computer Systems Technology.,17-3023,Electrical and Electronics Engineering Technicians
15.1203,Computer Hardware Technology/Technician.,17-3029,"Engineering Technicians, Except Drafters, All Other"
15.1204,Computer Software Technology/Technician.,15-1131,Computer Programmers
15.1204,Computer Software Technology/Technician.,15-1132,"Software Developers, Applications"
15.1204,Computer Software Technology/Technician.,15-1133,"Software Developers, Systems Software"
15.1299,"Computer Engineering Technologies/Technicians, Other.",NO MATCH,NO MATCH
15.1301,"Drafting and Design Technology/Technician, General.",17-3011,Architectural and Civil Drafters
15.1301,"Drafting and Design Technology/Technician, General.",17-3012,Electrical and Electronics Drafters
15.1301,"Drafting and Design Technology/Technician, General.",17-3013,Mechanical Drafters
15.1301,"Drafting and Design Technology/Technician, General.",17-3019,"Drafters, All Other"
15.1302,CAD/CADD Drafting and/or Design Technology/Technician.,17-3011,Architectural and Civil Drafters
15.1302,CAD/CADD Drafting and/or Design Technology/Technician.,17-3012,Electrical and Electronics Drafters
15.1302,CAD/CADD Drafting and/or Design Technology/Technician.,17-3013,Mechanical Drafters
15.1302,CAD/CADD Drafting and/or Design Technology/Technician.,17-3019,"Drafters, All Other"
15.1303,Architectural Drafting and Architectural CAD/CADD.,17-3011,Architectural and Civil Drafters
15.1304,Civil Drafting and Civil Engineering CAD/CADD.,17-3011,Architectural and Civil Drafters
15.1305,Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD.,17-3012,Electrical and Electronics Drafters
15.1306,Mechanical Drafting and Mechanical Drafting CAD/CADD.,17-3013,Mechanical Drafters
15.1399,"Drafting/Design Engineering Technologies/Technicians, Other.",17-3019,"Drafters, All Other"
15.1401,Nuclear Engineering Technology/Technician.,19-4051,Nuclear Technicians
15.1501,Engineering/Industrial Management.,11-3051,Industrial Production Managers
15.1501,Engineering/Industrial Management.,11-9041,Architectural and Engineering Managers
15.1501,Engineering/Industrial Management.,17-3026,Industrial Engineering Technicians
15.1502,Engineering Design.,11-9041,Architectural and Engineering Managers
15.1502,Engineering Design.,17-2199,"Engineers, All Other"
15.1502,Engineering Design.,25-1032,"Engineering Teachers, Postsecondary"
15.1503,Packaging Science.,11-9041,Architectural and Engineering Managers
15.1503,Packaging Science.,17-2112,Industrial Engineers
15.1503,Packaging Science.,17-3026,Industrial Engineering Technicians
15.1503,Packaging Science.,17-3029,"Engineering Technicians, Except Drafters, All Other"
15.1503,Packaging Science.,25-1032,"Engineering Teachers, Postsecondary"
15.1503,Packaging Science.,25-1199,"Postsecondary Teachers, All Other"
15.1503,Packaging Science.,27-1021,Commercial and Industrial Designers
15.1599,"Engineering-Related Fields, Other.",NO MATCH,NO MATCH
15.1601,Nanotechnology.,17-2199,"Engineers, All Other"
15.9999,"Engineering Technologies and Engineering-Related Fields, Other.",NO MATCH,NO MATCH
16.0101,"Foreign Languages and Literatures, General.",25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0101,"Foreign Languages and Literatures, General.",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
16.0101,"Foreign Languages and Literatures, General.",27-3091,Interpreters and Translators
16.0102,Linguistics.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0102,Linguistics.,27-3091,Interpreters and Translators
16.0103,Language Interpretation and Translation.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0103,Language Interpretation and Translation.,27-3091,Interpreters and Translators
16.0104,Comparative Literature.,25-1123,"English Language and Literature Teachers, Postsecondary"
16.0105,Applied Linguistics.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0105,Applied Linguistics.,27-3091,Interpreters and Translators
16.0199,"Linguistic, Comparative, and Related Language Studies and Services, Other.",19-3099,"Social Scientists and Related Workers, All Other"
16.0201,"African Languages, Literatures, and Linguistics.",25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0201,"African Languages, Literatures, and Linguistics.",27-3091,Interpreters and Translators
16.0300,"East Asian Languages, Literatures, and Linguistics, General.",25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0300,"East Asian Languages, Literatures, and Linguistics, General.",27-3091,Interpreters and Translators
16.0301,Chinese Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0301,Chinese Language and Literature.,27-3091,Interpreters and Translators
16.0302,Japanese Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0302,Japanese Language and Literature.,27-3091,Interpreters and Translators
16.0303,Korean Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0303,Korean Language and Literature.,27-3091,Interpreters and Translators
16.0304,Tibetan Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0304,Tibetan Language and Literature.,27-3091,Interpreters and Translators
16.0399,"East Asian Languages, Literatures, and Linguistics, Other.",25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0399,"East Asian Languages, Literatures, and Linguistics, Other.",27-3091,Interpreters and Translators
16.0400,"Slavic Languages, Literatures, and Linguistics, General.",25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0400,"Slavic Languages, Literatures, and Linguistics, General.",27-3091,Interpreters and Translators
16.0401,"Baltic Languages, Literatures, and Linguistics.",25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0401,"Baltic Languages, Literatures, and Linguistics.",27-3091,Interpreters and Translators
16.0402,Russian Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0402,Russian Language and Literature.,27-3091,Interpreters and Translators
16.0404,Albanian Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0404,Albanian Language and Literature.,27-3091,Interpreters and Translators
16.0405,Bulgarian Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0405,Bulgarian Language and Literature.,27-3091,Interpreters and Translators
16.0406,Czech Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0406,Czech Language and Literature.,27-3091,Interpreters and Translators
16.0407,Polish Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0407,Polish Language and Literature.,27-3091,Interpreters and Translators
16.0408,"Bosnian, Serbian, and Croatian Languages and Literatures.",25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0408,"Bosnian, Serbian, and Croatian Languages and Literatures.",27-3091,Interpreters and Translators
16.0409,Slovak Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0409,Slovak Language and Literature.,27-3091,Interpreters and Translators
16.0410,Ukrainian Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0410,Ukrainian Language and Literature.,27-3091,Interpreters and Translators
16.0499,"Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics, Other.",25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0499,"Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics, Other.",27-3091,Interpreters and Translators
16.0500,"Germanic Languages, Literatures, and Linguistics, General.",25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0500,"Germanic Languages, Literatures, and Linguistics, General.",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
16.0500,"Germanic Languages, Literatures, and Linguistics, General.",27-3091,Interpreters and Translators
16.0501,German Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0501,German Language and Literature.,27-3091,Interpreters and Translators
16.0502,"Scandinavian Languages, Literatures, and Linguistics.",25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0502,"Scandinavian Languages, Literatures, and Linguistics.",27-3091,Interpreters and Translators
16.0503,Danish Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0503,Danish Language and Literature.,27-3091,Interpreters and Translators
16.0504,Dutch/Flemish Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0504,Dutch/Flemish Language and Literature.,27-3091,Interpreters and Translators
16.0505,Norwegian Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0505,Norwegian Language and Literature.,27-3091,Interpreters and Translators
16.0506,Swedish Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0506,Swedish Language and Literature.,27-3091,Interpreters and Translators
16.0599,"Germanic Languages, Literatures, and Linguistics, Other.",25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.0599,"Germanic Languages, Literatures, and Linguistics, Other.",27-3091,Interpreters and Translators
