2022 National Employment Matrix title,2022 National Employment Matrix code,Occupation type,"Employment, 2022","Employment, 2032","Employment distribution, percent, 2022","Employment distribution, percent, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Occupational openings, 2022-32 annual average"
"      Life sciences teachers, postsecondary",25-1040,Summary,74.0,79.9,0.0,0.0,5.9,8.0,6.6
"        Agricultural sciences teachers, postsecondary",25-1041,Line item,10.1,10.5,0.0,0.0,0.5,4.8,0.8
"        Biological science teachers, postsecondary",25-1042,Line item,62.4,67.7,0.0,0.0,5.3,8.6,5.6
"        Forestry and conservation science teachers, postsecondary",25-1043,Line item,1.5,1.6,0.0,0.0,0.1,5.2,0.1
"      Physical sciences teachers, postsecondary",25-1050,Summary,63.5,65.9,0.0,0.0,2.4,3.7,5.3
"        Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,Line item,13.6,14.1,0.0,0.0,0.5,3.6,1.1
"        Chemistry teachers, postsecondary",25-1052,Line item,25.9,26.8,0.0,0.0,0.9,3.5,2.1
"        Environmental science teachers, postsecondary",25-1053,Line item,7.9,8.2,0.0,0.0,0.3,4.2,0.7
"        Physics teachers, postsecondary",25-1054,Line item,16.2,16.8,0.0,0.0,0.6,3.8,1.3
"      Social sciences teachers, postsecondary",25-1060,Summary,141.4,147.3,0.1,0.1,5.9,4.2,11.8
"        Anthropology and archeology teachers, postsecondary",25-1061,Line item,6.2,6.4,0.0,0.0,0.2,4.0,0.5
"        Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Line item,11.9,12.4,0.0,0.0,0.5,3.9,1.0
"        Economics teachers, postsecondary",25-1063,Line item,14.8,15.4,0.0,0.0,0.6,3.8,1.2
"        Geography teachers, postsecondary",25-1064,Line item,4.1,4.3,0.0,0.0,0.2,4.4,0.3
"        Political science teachers, postsecondary",25-1065,Line item,19.3,20.0,0.0,0.0,0.7,3.7,1.6
"        Psychology teachers, postsecondary",25-1066,Line item,50.9,53.6,0.0,0.0,2.7,5.2,4.3
"        Sociology teachers, postsecondary",25-1067,Line item,15.0,15.5,0.0,0.0,0.6,3.7,1.2
"        Social sciences teachers, postsecondary, all other",25-1069,Line item,19.2,19.7,0.0,0.0,0.5,2.6,1.6
"      Health teachers, postsecondary",25-1070,Summary,348.7,414.5,0.2,0.2,65.8,18.9,36.3
"        Health specialties teachers, postsecondary",25-1071,Line item,262.8,313.0,0.2,0.2,50.2,19.1,27.4
"        Nursing instructors and teachers, postsecondary",25-1072,Line item,85.9,101.5,0.1,0.1,15.6,18.2,8.8
"      Education and library science teachers, postsecondary",25-1080,Summary,79.7,82.7,0.0,0.0,3.0,3.8,6.6
"        Education teachers, postsecondary",25-1081,Line item,74.3,77.1,0.0,0.0,2.8,3.7,6.2
"        Library science teachers, postsecondary",25-1082,Line item,5.4,5.6,0.0,0.0,0.2,4.1,0.4
"      Law, criminal justice, and social work teachers, postsecondary",25-1110,Summary,51.7,53.4,0.0,0.0,1.7,3.2,4.3
"        Criminal justice and law enforcement teachers, postsecondary",25-1111,Line item,16.5,16.9,0.0,0.0,0.4,2.7,1.3
"        Law teachers, postsecondary",25-1112,Line item,19.8,20.4,0.0,0.0,0.6,3.0,1.6
"        Social work teachers, postsecondary",25-1113,Line item,15.5,16.1,0.0,0.0,0.6,4.0,1.3
"      Arts, communications, history, and humanities teachers, postsecondary",25-1120,Summary,304.1,311.4,0.2,0.2,7.4,2.4,24.7
"        Art, drama, and music teachers, postsecondary",25-1121,Line item,123.9,127.8,0.1,0.1,3.9,3.2,10.2
"        Communications teachers, postsecondary",25-1122,Line item,33.6,34.8,0.0,0.0,1.2,3.4,2.8
"        English language and literature teachers, postsecondary",25-1123,Line item,70.1,70.9,0.0,0.0,0.9,1.2,5.6
"        Foreign language and literature teachers, postsecondary",25-1124,Line item,24.7,25.0,0.0,0.0,0.3,1.4,2.0
"        History teachers, postsecondary",25-1125,Line item,22.8,23.1,0.0,0.0,0.3,1.3,1.8
"        Philosophy and religion teachers, postsecondary",25-1126,Line item,29.1,29.9,0.0,0.0,0.8,2.7,2.4
      Miscellaneous postsecondary teachers,25-1190,Summary,395.1,404.6,0.2,0.2,9.5,2.4,32.1
"        Family and consumer sciences teachers, postsecondary",25-1192,Line item,2.9,3.0,0.0,0.0,0.1,3.9,0.2
"        Recreation and fitness studies teachers, postsecondary",25-1193,Line item,16.3,16.8,0.0,0.0,0.5,3.3,1.3
"        Career/technical education teachers, postsecondary",25-1194,Line item,113.0,112.5,0.1,0.1,-0.6,-0.5,8.7
"        Postsecondary teachers, all other",25-1199,Line item,262.8,272.3,0.2,0.2,9.4,3.6,21.8
"    Preschool, elementary, middle, secondary, and special education teachers",25-2000,Summary,"4,355.9","4,402.1",2.6,2.6,46.1,1.1,314.3
      Preschool and kindergarten teachers,25-2010,Summary,635.7,653.6,0.4,0.4,17.9,2.8,69.3
"        Preschool teachers, except special education",25-2011,Line item,512.3,529.6,0.3,0.3,17.2,3.4,56.3
"        Kindergarten teachers, except special education",25-2012,Line item,123.4,124.1,0.1,0.1,0.7,0.5,13.0
      Elementary and middle school teachers,25-2020,Summary,"2,061.6","2,076.7",1.3,1.2,15.1,0.7,139.0
"        Elementary school teachers, except special education",25-2021,Line item,"1,425.0","1,435.0",0.9,0.8,10.0,0.7,96.0
"        Middle school teachers, except special and career/technical education",25-2022,Line item,625.5,630.6,0.4,0.4,5.1,0.8,42.2
"        Career/technical education teachers, middle school",25-2023,Line item,11.1,11.1,0.0,0.0,0.0,0.0,0.7
      Secondary school teachers,25-2030,Summary,"1,160.2","1,171.1",0.7,0.7,10.9,0.9,72.5
"        Secondary school teachers, except special and career/technical education",25-2031,Line item,"1,072.3","1,083.4",0.7,0.6,11.1,1.0,67.1
"        Career/technical education teachers, secondary school",25-2032,Line item,88.0,87.7,0.1,0.1,-0.2,-0.2,5.4
      Special education teachers,25-2050,Summary,498.4,500.7,0.3,0.3,2.2,0.4,33.5
"        Special education teachers, preschool",25-2051,Line item,23.8,24.3,0.0,0.0,0.5,1.9,1.6
"        Special education teachers, kindergarten and elementary school",25-2052,Line item,194.7,194.6,0.1,0.1,-0.1,0.0,12.9
"        Special education teachers, middle school",25-2057,Line item,82.8,82.6,0.1,0.0,-0.1,-0.2,5.5
"        Special education teachers, secondary school",25-2058,Line item,153.2,154.0,0.1,0.1,0.7,0.5,10.3
"        Special education teachers, all other",25-2059,Line item,43.9,45.2,0.0,0.0,1.3,2.9,3.1
    Other teachers and instructors,25-3000,Summary,"1,190.1","1,223.8",0.7,0.7,33.7,2.8,158.4
"      Adult basic education, adult secondary education, and english as a second language instructors",25-3011,Line item,42.2,36.9,0.0,0.0,-5.3,-12.6,4.2
      Self-enrichment teachers,25-3021,Line item,354.7,366.1,0.2,0.2,11.4,3.2,44.1
"      Substitute teachers, short-term",25-3031,Line item,421.6,438.9,0.3,0.3,17.4,4.1,53.0
      Tutors,25-3041,Line item,223.7,231.1,0.1,0.1,7.4,3.3,39.1
"      Teachers and instructors, all other",25-3099,Line item,148.0,150.9,0.1,0.1,2.9,1.9,18.1
"    Librarians, curators, and archivists",25-4000,Summary,257.6,260.8,0.2,0.2,3.2,1.2,30.9
"      Archivists, curators, and museum technicians",25-4010,Summary,37.7,41.5,0.0,0.0,3.7,9.9,5.0
        Archivists,25-4011,Line item,9.4,10.2,0.0,0.0,0.8,8.2,1.2
        Curators,25-4012,Line item,13.9,15.4,0.0,0.0,1.5,11.1,1.9
        Museum technicians and conservators,25-4013,Line item,14.4,15.9,0.0,0.0,1.4,9.9,1.9
      Librarians and media collections specialists,25-4022,Line item,141.2,145.5,0.1,0.1,4.3,3.0,13.7
      Library technicians,25-4031,Line item,78.6,73.8,0.0,0.0,-4.8,-6.1,12.2
    Other educational instruction and library occupations,25-9000,Summary,"1,840.7","1,857.2",1.1,1.1,16.4,0.9,204.8
      Farm and home management educators,25-9021,Line item,9.7,9.5,0.0,0.0,-0.2,-2.0,0.8
      Instructional coordinators,25-9031,Line item,216.6,222.0,0.1,0.1,5.3,2.5,19.2
      Teaching assistants,25-9040,Summary,"1,469.1","1,477.1",0.9,0.9,8.0,0.5,171.9
"        Teaching assistants, postsecondary",25-9044,Line item,170.2,177.3,0.1,0.1,7.1,4.2,20.9
"        Teaching assistants, except postsecondary",25-9045,Line item,"1,298.9","1,299.8",0.8,0.8,0.9,0.1,151.0
"      Educational instruction and library workers, all other",25-9099,Line item,145.3,148.6,0.1,0.1,3.3,2.3,12.9
"  Arts, design, entertainment, sports, and media occupations",27-0000,Summary,"3,071.1","3,187.0",1.9,1.9,115.9,3.8,316.9
    Art and design workers,27-1000,Summary,991.2,"1,020.7",0.6,0.6,29.4,3.0,95.8
      Artists and related workers,27-1010,Summary,278.9,296.9,0.2,0.2,18.0,6.5,28.7
        Art directors,27-1011,Line item,135.1,143.2,0.1,0.1,8.2,6.1,13.8
        Craft artists,27-1012,Line item,11.5,12.0,0.0,0.0,0.4,3.9,1.1
"        Fine artists, including painters, sculptors, and illustrators",27-1013,Line item,29.1,30.6,0.0,0.0,1.5,5.2,2.9
        Special effects artists and animators,27-1014,Line item,89.3,96.6,0.1,0.1,7.4,8.2,9.4
"        Artists and related workers, all other",27-1019,Line item,14.0,14.5,0.0,0.0,0.5,3.4,1.4
      Designers,27-1020,Summary,712.3,723.8,0.4,0.4,11.4,1.6,67.1
        Commercial and industrial designers,27-1021,Line item,32.4,33.0,0.0,0.0,0.7,2.0,2.2
        Fashion designers,27-1022,Line item,24.9,25.7,0.0,0.0,0.8,3.3,2.3
        Floral designers,27-1023,Line item,54.5,44.7,0.0,0.0,-9.8,-18.0,4.7
        Graphic designers,27-1024,Line item,270.9,279.8,0.2,0.2,8.9,3.3,22.8
        Interior designers,27-1025,Line item,94.9,98.7,0.1,0.1,3.7,3.9,9.0
        Merchandise displayers and window trimmers,27-1026,Line item,173.4,177.5,0.1,0.1,4.1,2.4,20.8
        Set and exhibit designers,27-1027,Line item,27.8,29.8,0.0,0.0,2.0,7.3,2.5
"        Designers, all other",27-1029,Line item,33.5,34.6,0.0,0.0,1.1,3.1,2.8
"    Entertainers and performers, sports and related workers",27-2000,Summary,857.1,906.7,0.5,0.5,49.6,5.8,106.8
"      Actors, producers, and directors",27-2010,Summary,253.4,267.6,0.2,0.2,14.2,5.6,25.2
        Actors,27-2011,Line item,78.1,80.6,0.0,0.0,2.5,3.2,9.3
        Producers and directors,27-2012,Line item,175.3,187.0,0.1,0.1,11.7,6.7,16.0
"      Athletes, coaches, umpires, and related workers",27-2020,Summary,309.6,338.2,0.2,0.2,28.6,9.2,45.4
        Athletes and sports competitors,27-2021,Line item,14.0,15.2,0.0,0.0,1.3,9.1,1.9
        Coaches and scouts,27-2022,Line item,275.2,300.5,0.2,0.2,25.3,9.2,38.4
"        Umpires, referees, and other sports officials",27-2023,Line item,20.4,22.4,0.0,0.0,2.0,9.7,5.0
      Dancers and choreographers,27-2030,Summary,18.4,19.4,0.0,0.0,1.0,5.2,3.0
        Dancers,27-2031,Line item,11.5,12.2,0.0,0.0,0.6,5.3,1.9
        Choreographers,27-2032,Line item,6.9,7.3,0.0,0.0,0.3,5.0,1.1
"      Musicians, singers, and related workers",27-2040,Summary,225.3,228.0,0.1,0.1,2.7,1.2,27.7
        Music directors and composers,27-2041,Line item,51.8,52.4,0.0,0.0,0.6,1.1,5.1
        Musicians and singers,27-2042,Line item,173.5,175.6,0.1,0.1,2.1,1.2,22.6
"      Miscellaneous entertainers and performers, sports and related workers",27-2090,Summary,50.3,53.5,0.0,0.0,3.2,6.3,5.5
"        Disc jockeys, except radio",27-2091,Line item,23.8,24.8,0.0,0.0,1.0,4.2,2.0
"        Entertainers and performers, sports and related workers, all other",27-2099,Line item,26.5,28.7,0.0,0.0,2.2,8.2,3.4
    Media and communication workers,27-3000,Summary,826.2,848.1,0.5,0.5,21.9,2.6,77.6
      Broadcast announcers and radio disc jockeys,27-3011,Line item,28.0,24.8,0.0,0.0,-3.2,-11.4,2.4
"      News analysts, reporters, and journalists",27-3023,Line item,58.5,56.6,0.0,0.0,-1.9,-3.3,6.0
      Public relations specialists,27-3031,Line item,297.1,315.1,0.2,0.2,18.0,6.1,25.8
      Writers and editors,27-3040,Summary,326.7,331.0,0.2,0.2,4.3,1.3,31.8
        Editors,27-3041,Line item,122.1,117.3,0.1,0.1,-4.9,-4.0,11.6
        Technical writers,27-3042,Line item,53.3,57.0,0.0,0.0,3.7,6.9,4.8
        Writers and authors,27-3043,Line item,151.2,156.8,0.1,0.1,5.6,3.7,15.5
      Miscellaneous media and communication workers,27-3090,Summary,115.9,120.6,0.1,0.1,4.7,4.0,11.6
        Interpreters and translators,27-3091,Line item,68.7,71.7,0.0,0.0,3.0,4.3,7.2
        Court reporters and simultaneous captioners,27-3092,Line item,21.3,21.9,0.0,0.0,0.6,2.8,2.1
"        Media and communication workers, all other",27-3099,Line item,25.8,26.9,0.0,0.0,1.1,4.3,2.3
    Media and communication equipment workers,27-4000,Summary,396.5,411.5,0.2,0.2,15.0,3.8,36.7
"      Broadcast, sound, and lighting technicians",27-4010,Summary,142.8,145.3,0.1,0.1,2.5,1.7,12.9
        Audio and video technicians,27-4011,Line item,74.8,78.3,0.0,0.0,3.5,4.7,7.1
        Broadcast technicians,27-4012,Line item,39.9,39.4,0.0,0.0,-0.4,-1.1,3.4
        Sound engineering technicians,27-4014,Line item,17.6,17.4,0.0,0.0,-0.2,-1.2,1.5
        Lighting technicians,27-4015,Line item,10.5,10.2,0.0,0.0,-0.4,-3.4,0.9
      Photographers,27-4021,Line item,148.9,155.0,0.1,0.1,6.1,4.1,13.9
"      Television, video, and film camera operators and editors",27-4030,Summary,87.5,93.3,0.1,0.1,5.8,6.7,8.2
"        Camera operators, television, video, and film",27-4031,Line item,36.5,37.5,0.0,0.0,1.0,2.8,3.2
        Film and video editors,27-4032,Line item,51.0,55.8,0.0,0.0,4.8,9.4,5.0
"      Media and communication equipment workers, all other",27-4099,Line item,17.3,17.9,0.0,0.0,0.6,3.4,1.6
  Healthcare practitioners and technical occupations,29-0000,Summary,"9,481.0","10,243.7",5.8,6.1,762.7,8.0,621.6
    Healthcare diagnosing or treating practitioners,29-1000,Summary,"6,305.6","6,848.4",3.8,4.0,542.7,8.6,365.1
      Chiropractors,29-1011,Line item,55.0,59.8,0.0,0.0,4.9,8.8,2.6
      Dentists,29-1020,Summary,155.0,161.8,0.1,0.1,6.8,4.4,5.1
"        Dentists, general",29-1021,Line item,136.7,142.7,0.1,0.1,6.0,4.4,4.5
        Oral and maxillofacial surgeons,29-1022,Line item,4.9,5.1,0.0,0.0,0.2,5.0,0.2
        Orthodontists,29-1023,Line item,7.2,7.5,0.0,0.0,0.3,4.5,0.2
        Prosthodontists,29-1024,Line item,0.4,0.5,0.0,0.0,0.0,5.7,0.0
"        Dentists, all other specialists",29-1029,Line item,5.8,6.0,0.0,0.0,0.2,2.7,0.2
      Dietitians and nutritionists,29-1031,Line item,78.6,83.8,0.0,0.0,5.2,6.6,5.6
      Optometrists,29-1041,Line item,43.4,47.3,0.0,0.0,3.8,8.8,1.7
      Pharmacists,29-1051,Line item,334.2,342.9,0.2,0.2,8.7,2.6,13.4
      Physician assistants,29-1071,Line item,148.0,187.3,0.1,0.1,39.3,26.5,12.2
      Podiatrists,29-1081,Line item,10.6,10.7,0.0,0.0,0.1,1.0,0.3
      Therapists,29-1120,Summary,782.4,893.3,0.5,0.5,110.9,14.2,51.7
        Occupational therapists,29-1122,Line item,139.6,155.6,0.1,0.1,16.1,11.5,9.6
        Physical therapists,29-1123,Line item,246.8,284.1,0.2,0.2,37.3,15.1,13.9
        Radiation therapists,29-1124,Line item,15.9,16.3,0.0,0.0,0.4,2.4,0.7
        Recreational therapists,29-1125,Line item,16.8,17.4,0.0,0.0,0.6,3.6,1.3
        Respiratory therapists,29-1126,Line item,133.1,149.8,0.1,0.1,16.7,12.5,8.6
        Speech-language pathologists,29-1127,Line item,171.4,204.5,0.1,0.1,33.1,19.3,13.2
        Exercise physiologists,29-1128,Line item,16.5,18.2,0.0,0.0,1.7,10.2,1.2
"        Therapists, all other",29-1129,Line item,42.3,47.5,0.0,0.0,5.2,12.2,3.2
      Veterinarians,29-1131,Line item,89.5,107.2,0.1,0.1,17.7,19.7,5.0
      Registered nurses,29-1141,Line item,"3,172.5","3,349.9",1.9,2.0,177.4,5.6,193.1
      Nurse anesthetists,29-1151,Line item,49.4,53.8,0.0,0.0,4.5,9.0,2.5
      Nurse midwives,29-1161,Line item,8.2,8.7,0.0,0.0,0.5,6.4,0.4
      Nurse practitioners,29-1171,Line item,266.3,384.9,0.2,0.2,118.6,44.5,26.3
      Audiologists,29-1181,Line item,14.4,15.9,0.0,0.0,1.5,10.6,0.9
      Physicians,29-1210,Summary,757.4,780.9,0.5,0.5,23.6,3.1,22.7
        Anesthesiologists,29-1211,Line item,40.0,41.1,0.0,0.0,1.0,2.6,1.2
        Cardiologists,29-1212,Line item,18.0,18.6,0.0,0.0,0.6,3.1,0.5
        Dermatologists,29-1213,Line item,12.4,12.8,0.0,0.0,0.4,3.1,0.4
        Emergency medicine physicians,29-1214,Line item,31.3,32.2,0.0,0.0,0.9,2.8,0.9
        Family medicine physicians,29-1215,Line item,108.0,112.0,0.1,0.1,4.0,3.7,3.3
        General internal medicine physicians,29-1216,Line item,72.6,74.4,0.0,0.0,1.8,2.5,2.1
        Neurologists,29-1217,Line item,12.2,12.5,0.0,0.0,0.4,3.2,0.4
        Obstetricians and gynecologists,29-1218,Line item,22.9,23.4,0.0,0.0,0.5,2.2,0.7
"        Pediatricians, general",29-1221,Line item,35.9,36.2,0.0,0.0,0.3,0.9,1.0
"        Physicians, pathologists",29-1222,Line item,13.2,13.9,0.0,0.0,0.6,4.6,0.4
        Psychiatrists,29-1223,Line item,28.6,30.5,0.0,0.0,1.9,6.7,1.0
        Radiologists,29-1224,Line item,31.2,32.4,0.0,0.0,1.1,3.6,1.0
"        Physicians, all other",29-1229,Line item,330.9,341.0,0.2,0.2,10.0,3.0,9.9
      Surgeons,29-1240,Summary,59.6,60.6,0.0,0.0,1.0,1.7,1.5
"        Ophthalmologists, except pediatric",29-1241,Line item,12.8,13.3,0.0,0.0,0.5,3.6,0.3
"        Orthopedic surgeons, except pediatric",29-1242,Line item,19.4,19.7,0.0,0.0,0.3,1.6,0.5
        Pediatric surgeons,29-1243,Line item,0.8,0.8,0.0,0.0,0.0,1.0,0.0
"        Surgeons, all other",29-1249,Line item,26.5,26.8,0.0,0.0,0.2,0.8,0.6
      Miscellaneous healthcare diagnosing or treating practitioners,29-1290,Summary,281.3,299.6,0.2,0.2,18.4,6.5,20.2
        Acupuncturists,29-1291,Line item,26.6,28.0,0.0,0.0,1.4,5.3,1.8
        Dental hygienists,29-1292,Line item,219.4,235.7,0.1,0.1,16.3,7.4,16.4
"        Healthcare diagnosing or treating practitioners, all other",29-1299,Line item,35.2,35.9,0.0,0.0,0.7,2.0,2.0
    Health technologists and technicians,29-2000,Summary,"3,036.2","3,241.3",1.8,1.9,205.1,6.8,246.2
      Clinical laboratory technologists and technicians,29-2010,Line item,342.9,359.7,0.2,0.2,16.8,4.9,24.0
      Diagnostic related technologists and technicians,29-2030,Summary,428.5,458.2,0.3,0.3,29.8,6.9,26.3
        Cardiovascular technologists and technicians,29-2031,Line item,58.9,61.1,0.0,0.0,2.2,3.7,3.9
        Diagnostic medical sonographers,29-2032,Line item,83.8,95.8,0.1,0.1,12.0,14.3,5.7
        Nuclear medicine technologists,29-2033,Line item,18.1,18.2,0.0,0.0,0.1,0.4,0.8
        Radiologic technologists and technicians,29-2034,Line item,222.8,235.0,0.1,0.1,12.2,5.5,13.1
        Magnetic resonance imaging technologists,29-2035,Line item,41.4,44.6,0.0,0.0,3.2,7.7,2.6
        Medical dosimetrists,29-2036,Line item,3.5,3.6,0.0,0.0,0.1,3.4,0.2
      Emergency medical technicians and paramedics,29-2040,Summary,269.0,283.6,0.2,0.2,14.6,5.4,18.1
        Emergency medical technicians,29-2042,Line item,170.7,180.0,0.1,0.1,9.3,5.4,13.1
        Paramedics,29-2043,Line item,98.3,103.6,0.1,0.1,5.3,5.4,5.1
      Health practitioner support technologists and technicians,29-2050,Summary,885.6,962.1,0.5,0.6,76.6,8.6,87.7
        Dietetic technicians,29-2051,Line item,20.2,20.9,0.0,0.0,0.7,3.5,2.3
        Pharmacy technicians,29-2052,Line item,459.6,485.5,0.3,0.3,25.9,5.6,44.9
        Psychiatric technicians,29-2053,Line item,107.1,117.5,0.1,0.1,10.4,9.7,10.2
        Surgical technologists,29-2055,Line item,109.2,115.2,0.1,0.1,5.9,5.4,7.2
        Veterinary technologists and technicians,29-2056,Line item,122.9,148.1,0.1,0.1,25.2,20.5,14.8
        Ophthalmic medical technicians,29-2057,Line item,66.5,74.9,0.0,0.0,8.4,12.7,8.4
      Licensed practical and licensed vocational nurses,29-2061,Line item,655.0,689.9,0.4,0.4,34.9,5.3,54.4
      Medical records specialists,29-2072,Line item,194.3,210.9,0.1,0.1,16.5,8.5,15.0
"      Opticians, dispensing",29-2081,Line item,73.3,75.2,0.0,0.0,2.0,2.7,6.4
      Miscellaneous health technologists and technicians,29-2090,Summary,187.7,201.7,0.1,0.1,14.0,7.5,14.3
        Orthotists and prosthetists,29-2091,Line item,9.5,10.9,0.0,0.0,1.5,15.4,0.8
        Hearing aid specialists,29-2092,Line item,10.2,11.7,0.0,0.0,1.5,14.5,0.9
"        Health technologists and technicians, all other",29-2099,Line item,168.0,179.1,0.1,0.1,11.1,6.6,12.6
    Other healthcare practitioners and technical occupations,29-9000,Summary,139.2,154.1,0.1,0.1,14.9,10.7,10.3
      Health information technologists and medical registrars,29-9021,Line item,37.9,44.1,0.0,0.0,6.2,16.5,3.1
      Miscellaneous health practitioners and technical workers,29-9090,Summary,101.3,110.0,0.1,0.1,8.6,8.5,7.2
        Athletic trainers,29-9091,Line item,33.8,38.5,0.0,0.0,4.8,14.1,2.7
        Genetic counselors,29-9092,Line item,3.5,4.0,0.0,0.0,0.6,16.1,0.3
        Surgical assistants,29-9093,Line item,19.7,20.7,0.0,0.0,1.0,5.2,1.3
"        Healthcare practitioners and technical workers, all other",29-9099,Line item,44.4,46.7,0.0,0.0,2.3,5.2,3.0
  Healthcare support occupations,31-0000,Summary,"7,144.9","8,245.5",4.3,4.9,"1,100.6",15.4,"1,211.0"
"    Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides",31-1100,Summary,"5,154.8","6,019.3",3.1,3.6,864.6,16.8,899.0
      Home health and personal care aides,31-1120,Line item,"3,715.5","4,520.1",2.3,2.7,804.6,21.7,684.6
"      Nursing assistants, orderlies, and psychiatric aides",31-1130,Summary,"1,439.2","1,499.2",0.9,0.9,60.0,4.2,214.4
        Nursing assistants,31-1131,Line item,"1,361.3","1,417.8",0.8,0.8,56.5,4.1,202.4
        Orderlies,31-1132,Line item,45.5,47.4,0.0,0.0,1.9,4.2,7.0
        Psychiatric aides,31-1133,Line item,32.4,34.0,0.0,0.0,1.6,4.9,5.0
    Occupational therapy and physical therapist assistants and aides,31-2000,Summary,194.1,232.8,0.1,0.1,38.6,19.9,32.9
      Occupational therapy assistants and aides,31-2010,Summary,49.0,60.0,0.0,0.0,11.0,22.5,8.6
        Occupational therapy assistants,31-2011,Line item,45.1,56.0,0.0,0.0,10.8,24.0,8.0
        Occupational therapy aides,31-2012,Line item,3.8,4.0,0.0,0.0,0.2,4.9,0.6
      Physical therapist assistants and aides,31-2020,Summary,145.1,172.7,0.1,0.1,27.6,19.0,24.3
        Physical therapist assistants,31-2021,Line item,100.7,126.9,0.1,0.1,26.3,26.1,18.1
        Physical therapist aides,31-2022,Line item,44.5,45.8,0.0,0.0,1.3,3.0,6.3
    Other healthcare support occupations,31-9000,Summary,"1,796.1","1,993.4",1.1,1.2,197.4,11.0,279.1
      Massage therapists,31-9011,Line item,134.3,158.9,0.1,0.1,24.6,18.3,22.0
      Miscellaneous healthcare support occupations,31-9090,Summary,"1,661.7","1,834.5",1.0,1.1,172.8,10.4,257.1
        Dental assistants,31-9091,Line item,371.0,396.7,0.2,0.2,25.7,6.9,55.1
        Medical assistants,31-9092,Line item,764.4,870.2,0.5,0.5,105.9,13.9,114.6
        Medical equipment preparers,31-9093,Line item,66.7,70.3,0.0,0.0,3.6,5.4,9.5
        Medical transcriptionists,31-9094,Line item,49.0,47.2,0.0,0.0,-1.8,-3.8,8.1
        Pharmacy aides,31-9095,Line item,43.7,42.4,0.0,0.0,-1.2,-2.8,7.5
        Veterinary assistants and laboratory animal caretakers,31-9096,Line item,114.8,138.3,0.1,0.1,23.5,20.5,26.8
        Phlebotomists,31-9097,Line item,139.4,150.2,0.1,0.1,10.8,7.7,19.5
"        Healthcare support workers, all other",31-9099,Line item,112.7,119.1,0.1,0.1,6.4,5.7,16.0
  Protective service occupations,33-0000,Summary,"3,568.4","3,579.8",2.2,2.1,11.4,0.3,409.5
    Supervisors of protective service workers,33-1000,Summary,370.2,374.5,0.2,0.2,4.3,1.1,27.2
      First-line supervisors of law enforcement workers,33-1010,Summary,196.4,199.1,0.1,0.1,2.7,1.4,14.0
        First-line supervisors of correctional officers,33-1011,Line item,58.5,56.9,0.0,0.0,-1.6,-2.7,4.4
        First-line supervisors of police and detectives,33-1012,Line item,137.9,142.2,0.1,0.1,4.3,3.1,9.5
      First-line supervisors of firefighting and prevention workers,33-1021,Line item,87.1,90.2,0.1,0.1,3.1,3.6,5.7
"      Miscellaneous first-line supervisors, protective service workers",33-1090,Summary,86.7,85.2,0.1,0.1,-1.6,-1.8,7.6
        First-line supervisors of security workers,33-1091,Line item,62.2,59.8,0.0,0.0,-2.4,-3.9,5.3
"        First-line supervisors of protective service workers, all other",33-1099,Line item,24.5,25.3,0.0,0.0,0.8,3.4,2.3
    Firefighting and prevention workers,33-2000,Summary,351.6,364.6,0.2,0.2,12.9,3.7,28.0
      Firefighters,33-2011,Line item,334.2,346.2,0.2,0.2,12.0,3.6,26.4
      Fire inspectors,33-2020,Summary,17.4,18.4,0.0,0.0,0.9,5.3,1.6
        Fire inspectors and investigators,33-2021,Line item,15.0,15.6,0.0,0.0,0.6,3.7,1.3
        Forest fire inspectors and prevention specialists,33-2022,Line item,2.4,2.8,0.0,0.0,0.4,14.8,0.3
    Law enforcement workers,33-3000,Summary,"1,213.4","1,208.1",0.7,0.7,-5.3,-0.4,96.3
"      Bailiffs, correctional officers, and jailers",33-3010,Summary,395.7,366.7,0.2,0.2,-29.0,-7.3,30.9
        Bailiffs,33-3011,Line item,17.1,16.8,0.0,0.0,-0.4,-2.3,2.3
        Correctional officers and jailers,33-3012,Line item,378.5,349.9,0.2,0.2,-28.6,-7.5,28.6
      Detectives and criminal investigators,33-3021,Line item,114.4,116.1,0.1,0.1,1.7,1.5,8.6
      Fish and game wardens,33-3031,Line item,6.9,6.5,0.0,0.0,-0.4,-6.3,0.7
      Parking enforcement workers,33-3041,Line item,9.0,8.9,0.0,0.0,-0.1,-1.4,0.9
      Police officers,33-3050,Summary,687.4,710.0,0.4,0.4,22.6,3.3,55.3
        Police and sheriff's patrol officers,33-3051,Line item,684.0,706.5,0.4,0.4,22.5,3.3,55.0
        Transit and railroad police,33-3052,Line item,3.4,3.5,0.0,0.0,0.1,3.2,0.3
    Other protective service workers,33-9000,Summary,"1,633.2","1,632.7",1.0,1.0,-0.5,0.0,258.0
      Animal control workers,33-9011,Line item,11.9,12.4,0.0,0.0,0.5,4.0,1.2
      Private detectives and investigators,33-9021,Line item,38.3,40.6,0.0,0.0,2.3,6.1,3.8
      Security guards and gambling surveillance officers,33-9030,Summary,"1,166.7","1,151.9",0.7,0.7,-14.8,-1.3,151.7
